,Word,Number of Syllables,Formatted for JS,Syllables Separated by semicolon,1st Syllable,2nd Syllable,3rd Syllable,4th Syllable,5th Syllable,6th Syllable,7th Syllable,8th Syllable
,aa,2,"'aa': 2,",a;a,a,a,,,,,,
,aback,2,"'aback': 2,",a;back,a,back,,,,,,
,abandon,3,"'abandon': 3,",a;ban;don,a,ban,don,,,,,
,abandonment,4,"'abandonment': 4,",a;ban;don;ment,a,ban,don,ment,,,,
,abandoned,3,"'abandoned': 3,",a;ban;doned,a,ban,doned,,,,,
,abated,3,"'abated': 3,",a;bat;ed,a,bat,ed,,,,,
,abate,2,"'abate': 2,",a;bate,a,bate,,,,,,
,abatement,3,"'abatement': 3,",a;bate;ment,a,bate,ment,,,,,
,abet,2,"'abet': 2,",a;bet,a,bet,,,,,,
,abiotic,4,"'abiotic': 4,",a;bi;ot;ic,a,bi,ot,ic,,,,
,abiding,3,"'abiding': 3,",a;bid;ing,a,bid,ing,,,,,
,abide,2,"'abide': 2,",a;bide,a,bide,,,,,,
,ability,4,"'ability': 4,",a;bil;i;ty,a,bil,i,ty,,,,
,ablaze,2,"'ablaze': 2,",a;blaze,a,blaze,,,,,,
,able,2,"'able': 2,",a;ble,a,ble,,,,,,
,ably,2,"'ably': 2,",a;bly,a,bly,,,,,,
,aboard,2,"'aboard': 2,",a;board,a,board,,,,,,
,abode,2,"'abode': 2,",a;bode,a,bode,,,,,,
,abolish,3,"'abolish': 3,",a;bol;ish,a,bol,ish,,,,,
,abominable,5,"'abominable': 5,",a;bom;i;na;ble,a,bom,i,na,ble,,,
,abomination,5,"'abomination': 5,",a;bom;i;na;tion,a,bom,i,na,tion,,,
,abortion,3,"'abortion': 3,",a;bor;tion,a,bor,tion,,,,,
,abort,2,"'abort': 2,",a;bort,a,bort,,,,,,
,abound,2,"'abound': 2,",a;bound,a,bound,,,,,,
,about,2,"'about': 2,",a;bout,a,bout,,,,,,
,above,2,"'above': 2,",a;bove,a,bove,,,,,,
,abrasion,3,"'abrasion': 3,",a;bra;sion,a,bra,sion,,,,,
,abrasive,3,"'abrasive': 3,",a;bra;sive,a,bra,sive,,,,,
,abreast,2,"'abreast': 2,",a;breast,a,breast,,,,,,
,abridged,2,"'abridged': 2,",a;bridged,a,bridged,,,,,,
,abroad,2,"'abroad': 2,",a;broad,a,broad,,,,,,
,abusive,3,"'abusive': 3,",a;bu;sive,a,bu,sive,,,,,
